82.5,1,31,3,1,525,
180.0,2,60,6,1,1995,
472.5,3,92,9,1,4650,
337.5,4,121,14,1,5400,
442.5,5,149,17,2,5880,
480.0,6,180,20,3,6405,
480.0,7,210,24,5,6945,
795.0,8,239,27,5,8715,
750.0,9,269,30,5,9210,
885.0,10,296,33,7,9690,
495.0,11,324,34,8,10440,
577.5,12,355,37,9,11970,
-90.0,13,384,40,11,13230,
-150.0,14,416,44,11,13770,
-637.5,15,446,47,12,15495,
-532.5,16,477,50,13,16020,
-562.5,17,508,52,14,16530,
-652.5,18,537,56,15,17040,
-675.0,19,565,61,15,17835,
-540.0,20,595,64,16,18345,
-705.0,21,625,70,17,19980,
-652.5,22,655,79,17,20565,
-697.5,23,685,79,17,21015,
-45.0,24,716,84,17,22575,
90.0,25,744,89,17,23130,
7.5,26,772,93,18,23625,
37.5,27,804,96,18,24150,
-97.5,28,834,99,18,25005,
-97.5,29,864,101,19,25500,
-247.5,30,895,104,19,27135,
-352.5,31,925,107,20,27645,
-360.0,32,956,109,20,28140,
-307.5,33,986,113,22,28680,
-382.5,34,1000,117,22,28950,
# End of run
-210.0,1,30,4,0,1230,
-90.0,2,61,9,1,1785,
-112.5,3,89,11,2,2250,
262.5,4,118,15,2,3765,
180.0,5,148,18,2,4260,
187.5,6,179,23,3,4815,
7.5,7,209,27,3,5325,
-135.0,8,239,28,3,5790,
-105.0,9,267,30,3,6240,
-847.5,10,298,34,4,7950,
-900.0,11,327,35,5,8415,
-787.5,12,357,38,5,8910,
-772.5,13,386,39,7,9690,
-547.5,14,413,44,12,11925,
-607.5,15,445,46,12,12435,
-630.0,16,474,48,13,13485,
-547.5,17,504,52,14,14010,
-397.5,18,534,56,14,14520,
-532.5,19,564,63,15,15090,
-495.0,20,595,64,15,15570,
-300.0,21,625,66,16,16905,
-300.0,22,653,67,16,17340,
-360.0,23,683,70,18,17865,
-495.0,24,712,72,20,19020,
-427.5,25,742,75,21,19530,
-442.5,26,771,77,22,20070,
-210.0,27,801,83,22,20610,
772.5,28,829,88,25,22650,
840.0,29,859,91,26,23220,
825.0,30,890,94,27,23745,
285.0,31,921,98,27,24600,
982.5,32,950,100,28,25980,
825.0,33,979,103,30,27390,
